drop_off_location,stake,ward/stake,time_spent,number_of_adult,number_of_youth,doors_in_route,donation_bags_collected,did_you_complete_more_than_1_route?,neighbourhood,assessed_value,latitude,longitude
Bearspaw Chapel,YSA Stake,Whitemud Creek YSA Ward,15,2,0,153,8,No,WHITEMUD CREEK YSA,363419.9324324324,53.45755675826776,-113.47480722445434
Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,15,2,2,108,15,No,SOUTHGATE,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,150,2,0,143,43,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,90,3,4,160,35,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,90,2,2,265,30,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,90,2,3,260,32,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,90,2,2,110,30,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,150,2,0,123,15,No,SOUTHGATE,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,1,1,350,47,Yes,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,90,2,4,225,22,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,45,1,2,650,48,Yes,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,2,2,140,30,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
